safe-conduct	เอกสารอนุญาตให้ผ่านได้โดยเฉพาะช่วงสงคราม
pard	เสือดาว
just	อย่างหวุดหวิด
streptomycin	ยารักษา
unspeak	ถอนคำพูด
manuscript	ซึ่งเขียนด้วยลายมือ
shill	การต้มตุ๋น
hairsbreadth	เส้นยาแดง
hangover	อาการเมาค้าง
neighbourhood watch	การเฝ้าระวังอาชญากรรมในละแวกบ้าน
grope about	พยายามหาทางเลี่ยง
medallion	การประดับเหรียญให้
rear-end	ขับไปชนท้ายรถคันอื่น
inheritance tax	ภาษีมรดก
gallant	กระทำตนเป็นคนรักของ (ผู้หญิง)
pop3	ที่เป็นที่นิยม
medicable	ซึ่งตอบสนองต่อการรักษาด้วยยา
migrate from	อพยพจาก
mini	คำเรียกย่อของ miniskirt และ minicomputer
stick on1	ติดบน
twiddle	การล้อเล่น
chart out	วางแผน
by	เป็นตัวแทนของ
bang out	รีบพิมพ์ (ด้วยเครื่องพิมพ์ดีด)
bobbie hat and scarf	หัวเราะ
superhighway	ถนนที่ขับรถด้วยความเร็วสูง
manhunt	การค้นหานักโทษอย่างละเอียด
querulous	ที่อารมณ์ร้าย
be out of humour	รู้สึกอารมณ์เสีย
car pool	กลุ่มของคนที่มาใช้รถร่วมกันเพื่อไปในสถานที่เดียวกัน
controvert	โต้แย้ง
little by little	ทีละน้อย
fight off	พยายามอยู่ห่างจาก
admiring	น่าชมเชย
Nam	ประเทศเวียดนาม
jazzy	น่าดึงดูดใจ
confectionary	ร้านขายลูกกวาด
xylotomous	ซึ่งเจาะหรือไชเนื้อไม้
great-grandparent	ปู่ย่าตายายของพ่อหรือแม่
get under-way	เริ่มดำเนินต่อไป
calculi	นิ่ว (คำพหูพจน์ของ calculus)
barney	การทะเลาะ
very	เฉพาะ
ooze1	การไหลซึมอย่างช้าๆ
mired	ซึ่งติดหล่ม
aflutter	ที่สะบัดเป็นคลื่นไปตามลม (เช่นธงชาติ)
riveter	ผู้ตอกหมุด
cacky	สกปรก
spell	อ่านสะกดคำ
proper	อย่างถูกต้อง
bestow	ให้
Samaritans	สมาคมสะมาริตัน  (องค์กรของประเทศอังกฤษ)
lower1	ลดลง
contagious disease	โรคติดต่อที่แพร่กระจายด้วยการสัมผัส
mandaciousness	การโกหก
forget	ลืม
pull out of	หวนกับมา (ร่าเริง, สุขภาพดี)
no stress	ไม่มีปัญหา
erosion	การกัดกร่อน
entrance2	จับใจ
sacerdotal	เกี่ยวกับพระ
wiry	(รูปร่าง) ผอมบางแต่แข็งแรง
stealth	การทำลับๆ
deceive with	หลอกลวงด้วย
unlace	แก้
ancestor	รูปแบบเดิมของสิ่งมีชีวิต
lingerie	เสื้อและกางเกงของสตรี
escritoire	โต๊ะเขียนหนังสือที่มีลิ้นปิดเปิด (ซึ่งบังลิ้นชักและช่องเก็บกระดาษไว้)
trebleness	ความแหลม
conceal	ปกปิด
cancelation	การยกเลิก
affix	สิ่งที่เติม
sunspot	จุดสีดำบนดวงอาทิตย์ที่เกิดขึ้นเป็นครั้งคราว
societal	เกี่ยวกับสังคม
pincushion	หมอนปักเข็มหมุด
-some	สองหรือมากกว่าสองคนในการกระทำหนึ่งๆ
confederation	การรวมกลุ่มกัน
revolve about / around	มุ่งที่
liven	เบิกบาน
vote with	ออกเสียงเหมือน
psammite	หินทราย
maverick	สัตว์ที่ยังไม่ได้ตีตรา (โดยเฉพาะลูกวัวที่แยกจากแม่)
harrow	คราด
raillery	การหยอกเย้า (คำทางการ)
show itself	เห็นได้ชัด
psalmist	ผู้แต่งเพลงสวด
keep ahead	นำหน้าในการแข่งขัน
idealize	เป็นอุดมคติ
caret	สัญลักษณ์รูปตัววีคว่ำที่ใช้ในการตรวจพิสูจน์อักษร (เพื่อแสดงว่ามีส่วนที่ต้องเติมเข้าไป)
couchant	ที่หมอบอยู่ (ใช้กับสัตว์)
ride herd on	เฝ้าด ู(เพื่อควบคุม)
spanner	กุญแจเลื่อน
osculate	สัมผัสใกล้ชิด
fetch over	โน้มน้าวให้เปลี่ยนความคิด
beast of burden	สัตว์ที่ใช้บรรทุกสัมภาระ
enter up	บันทึกใน
straightforward	ตรงไปข้างหน้า
trunk	งวง
suss	เข้าใจ
turn to2	เริ่มต้น (วิถีชีวิต)
sanguinity	การนองเลือด
no can do	ทำไม่ได้
static	ซึ่งอยู่นิ่งๆ
merciful	เปี่ยมด้วยความเมตตา
warrant officer	พันจ่า
chuff3	ช่องคลอด
demand	ต้องการ
rearmament	การติดอาวุธใหม่
shylock	พ่อค้าหน้าเลือด
propitiousness	คุณสมบัติที่แสดงถึงผลสำเร็จ
student	นักศึกษา
vinaigrette	ที่เสิร์ฟด้วยซอสวินนะเกรท
millpond	บ่อน้ำโรงโม่
free	อย่างให้เปล่า
fjord	อ่าวแคบๆที่อยู่ระหว่างหน้าผาสูงชันโดยเฉพาะในนอร์เวย์
on someone's back	โดนวิพากษ์วิจารณ์ตลอด
meditate on	คิดถึงอย่างลึกซึ้งและจริงจังเกี่ยวกับ (โดยเฉพาะทางศาสนาหรือต้องการหาความสงบของจิตใจ)
meaninglessness	การไร้ความหมาย
seagoing	เกี่ยวกับการเดินสมุทร
ugly duckling	ลูกเป็ดขี้เหร่
dower	ทรัพย์สินของสามีที่ตาย
in the world	น่าแปลก (ใช้ตามหลัง who, what, when, where, how, which)
oafish	โง่
trestle	ขาหยั่ง
page number	หมายเลขหน้า
Oxford blue	สีน้ำเงินเข้ม
hyacinth	พืชไม้ดอกสีม่วง
cultivated	ซึ่งมีความรู้ดี
hug	การกอดรัด
cast around	ค้นหา
jaywalk	ข้ามถนนอย่างผิดกฎหมาย
resent	โกรธเคือง
coup d'etat	การรัฐประหาร
propitiously	อย่างอำนวยให้
assumption	สมมติฐาน
organic	สารอินทรีย์
untidiness	ความไม่เรียบร้อย
gum tree	ต้นไม้ที่ให้ยางไม้
hockey	กีฬาฮอกกี้
planar	เกี่ยวกับที่ราบ
ocean greyhound	เรือเดินสมุทรเร็ว
catsup	ซอสมะเขือเทศ
zoography	สาขาสัตวแพทย์วิทยาที่ศึกษาเกี่ยวกับรูปพรรณของสัตว์
schizophrene	โรคจิตเภท
virtuosic	เกี่ยวกับผู้เชี่ยวชาญด้านศิลปะ
and then some	มากกว่านั้น (คำไม่เป็นทางการ)
tuberculin	สารสกัดจากเชื้อวัณโรค
talc	แป้งโรยตัวและทาหน้า
redolent	ซึ่งมีกลิ่นหอม
ornamentally	อย่างประดับประดา
bum suck	ทำให้ปลายบุหรี่เปียก
poliomyelitis	โรคโปลิโอ
despairingly	อย่างหมดหวัง
martini	เหล้าประเภทค็อกเทล
at the top of one's voice	ด้วยเสียงดังมาก
stop under	ยังอยู่ใต้
resurrect	กลับมีชีวิตใหม่
painter1	ช่างทาสี
jib1	ใบเรือผืนเล็กทิ่อยู่หน้าใบเรือใหญ่
venturous	ซึ่งชอบเสี่ยง
drive crazy	รำคาญ (คำไม่เป็นทางการ)
overfull	ซึ่งไหลล้น
pay attention to	สนใจ
sans	ปราศจาก
donator	ผู้บริจาค
bookable	ซึ่งจองล่วงหน้าได้
Uncle Tom	คนรับใช้ผิวดำ (คำหยาบ)
plead against	ขออุทธรณ์
unequaled	ซึ่งไม่มีสิ่งใดหรือผู้ใดทัดเทียม
trample	กระทืบ
bronchus	หลอดลม
seamy side of life	ช่วงที่ยากลำบากของชีวิต
caravanserai	โรงแรมที่มีพื้นที่จอดรถคาราวาน
vow	สาบาน
whiny	ซึ่งบ่นอู้อี้
deadlock	ทำให้ชะงัก
gorily	อย่างนองเลือด
story1	เล่าเรื่อง
pertrifaction	การกลายเป็นหิน
seldom	แทบจะไม่
devastate	ทำให้ท่วมท้นด้วยความรู้สึก (มักใช้รูป passive voice)
upshot of	ผลลัพธ์
flash up	ชูให้เห็นชั่วขณะ
ken	รู้
declaim against	ประกาศโจมตีต่อสาธารณชน
account	รายงาน
die off	ตาย
in a dead heat	เข้าเส้นชัยพร้อมกัน
all over the shop2	ทุกที่
Gross National Product	ผลิตภัณฑ์มวลรวมของประชากรใน 1 ปี (คำย่อคือ GNP)
pander to	ตามใจ
thin down	ทำให้บางลง
firebomb	โจมตีด้วยระเบิดเพลิง
vert1	สีเขียว
sparrow	นกกระจอก
oscillatory	ซึ่งแกว่งไปมา
take a risk	เสี่ยงดู
-form	เกี่ยวกับรูปแบบ
erg1	หน่วยวัดของพลังงานในระบบเซนติเมตร-กรัม-วินาที 1 erg มีค่าเท่ากับ 107 joule
Madame Butterfly	ตัวละครของ Puccini
detailed	ซึ่งมีรายละเอียดมาก
quip	พูดตลบตะแลง
unmanly	ขี้ขลาด
group about	รวมตัวรอบๆ
inconsolable	ซึ่ง (เศร้าโศก) จนไม่สามารถปลอบใจได้
Maria	มาเรีย (ชื่อของผู้หญิง)
polymorphous	ซึ่งมีหลายรูปแบบ
water-cool	ทำให้ (เครื่องยนต์หรือเครื่องจักร) เย็นลงโดยใช้น้ำ
cremation	การเผาศพ
storehouse	คลังเก็บของ
dyslogia	ความยากลำบากในการกลั่น
ferocious	ดุร้าย
pathologic	เกี่ยวกับพยาธิวิทยา
abscond from	แอบหนี
itself	ตัวมันเอง
get anywhere	ได้รับผลสำเร็จ
anthropomorphism	การถือเอารูปร่างและลักษณะของคนหรือสิ่งอื่น ๆ ที่ไม่มีชีวิตให้เป็นพระเจ้า
inductive	โดยอุปนัย
knobbed	ที่มีปุ่ม
soggy	ทึ่ม
magpie	คนช่างพูด (จนน่ารำคาญ)
mortify	บำเพ็ญทุกรกิริยา
stifling	หายใจหอบ
encamp	ตั้งค่าย
put aside	(เลือก) ไม่สนใจ
take in2	ใส่ (บางสิ่ง) ในอาหารหรือเครื่องดื่ม
meld2	การประกาศแต้ม
self-defensive	ซึ่งป้องกันตนเอง
interim	ชั่วคราว
cross one's fingers	ขอให้โชคดี
put up	ทำให้ขุ่นเคือง
godmother	แม่อุปถัมภ์
start out of	ทำให้สะดุ้งตื่น
jalousie	บานเกล็ดหน้าต่างหรือประตู
chew out	ด่าว่า (คำไม่เป็นทางการ)
tyro	ผู้มาใหม่
hang glider	เครื่องร่อนโครงสร้างเบาและปีกกว้าง มีคานยาวให้ผู้ร่อนยึดจับไว้สำหรับควบคุมการร่อน
cancel	ลบทิ้ง
quinine	สารอัลคาลอยด์ชนิดหนึ่งจากเปลือกต้น  cinchona
vampiric	เกี่ยวกับ vampire
be in at	อยู่จนสิ้นสุด (คำไม่เป็นทางการ)
in my book	ในความคิดของ
geologist	นักธรณีวิทยา
nationhood	ความเป็นชาติ
harmonious	ประสานกัน
indue	มอบให้
cheapness	ราคาถูก
arm1	สิ่งที่คล้ายแขน (ในด้านรูปร่างและหน้าที่)
outridden	กริยาช่องที่ 3 ของ outride
ambulant	ที่เคลื่อนจากที่หนึ่งไปยังอีกที่หนึ่ง
salutarily	อย่างเป็นประโยชน์
napthalene	สารประกอบไฮโดรคาร์บอนที่ได้จากน้ำมันดิน
put to1	ปิดสนิท
palm off with	หลอกลวงด้วย (คำไม่เป็นทางการ)
wearisome	เหนื่อยอ่อน
shell jacket	เสื้อคลุมรัดรูปของทหาร
hackneyed	ธรรมดา
reliever	ผู้ช่วยผ่อนคลาย
adjournment	การเลื่อน
Romansh	ภาษาถิ่นในสวิตเซอร์แลนด์
chance on	พบโดยบังเอิญ
warty	ที่มีก้อนเล็กๆ ขึ้นบนผิวหนัง
heartbroken	ช้ำใจ
multiplication	การคูณ
as right as rain	น่าพอใจ
rejecter	ผู้ปฏิเสธ
use	ความเคยชิน
welsh	ไม่ทำตามที่พูดไว้ (คำไม่เป็นทางการ)
buzz along	จากไป
syndrome	ลักษณะเชิงซ้อนต่างๆ ที่บ่งบอกถึงสภาพใดสภาพหนึ่ง
contract	หด
-ile	สามารถ
throw up	รีบสร้าง (อาคาร, สิ่งปลูกสร้าง)
order off	สั่งให้ออกจาก
beeline	ทางตรง
clench	ทำให้ติดกันแน่น
plausive	น่ายินดี
bungalow	บังกะโล
pug3	รอยเท้าสัตว์
big cheese	เจ้านาย
foundation	สถาบัน (ที่ก่อตั้งขึ้นมาจากกองทุน)
mysticalness	การมีเวทย์มนต์
More fool you!	คุณโง่มาก
tho	ถึงแม้ว่า (คำย่อของ though)
abscond	หลบหนี
exquisite	สวยงาม
profiling	การรวบรวมข้อมูลที่เป็นประโยชน์เกี่ยวกับสิ่งที่ต้องการทราบรายละเอียด
lair	ที่หลบซ่อน
umbrella sheath	ปลอกร่ม
paraffin	พาราฟิน
purline	หมอนรองหลังคา
live	อาศัย
remain in office / power	ยังคงควบคุม / บังคับ
germicide	ยาฆ่าเชื้อโรค
show oneself	แสดงตัว
adulterant	สิ่งเจือปน
value-added tax	ภาษีมูลค่าเพิ่ม
lambkin	ลูกแกะเล็ก ๆ
You cant' teach an old dog new tricks.	แก่เกินกว่าจะเรียนรู้สิ่งใหม่
hit at	ต่อย
gross ton	หน่วยชั่งน้ำหนักมีค่าเท่ากับ 2,000 ปอนด์ (907,1847 กิโลกรัม)
cauterise	ทำให้แผลไหม้ด้วยความร้อนหรือสารเคมีเพื่อให้เลือดหยุดไหลหรือป้องกันการติดเชื้อ
petty officer	นายทหารเรือ (สัญลักษณ์ย่อคือ PO หรือ P.O.)
merchantable	ซึ่งค้าขายได้
run in2	เข้าแข่งขัน
agley	บิด
disseminate	เผยแพร่
mincemeat	เนื้อสับ
zebec	เรือเล็กมีเสากระโดงเรือ 3 เสา
regulator	เครื่องควบคุมอัตโนมัติ (เช่น ควบคุมความเร็ว อุณหภูมิ)
fall through1	ทำไม่สำเร็จ
(as) mad as a March hare	บ้า
discomfort	ความไม่สะดวกสบาย
nose job	การผ่าตัดจมูก (คำไม่เป็นทางการ)
thane	ขุนนางยุคแองโกลแซกซอน
raptor	นกที่ล่าสัตว์อื่นเป็นอาหาร
work off	เอาออก
abortifacient	ที่ทำให้แท้ง
set back	วางถอยหลัง
(as) thick as thieves	เป็นเพื่อนกับ (คำไม่เป็นทางการ)
large portion	คำอุทานแสดงความตื่นเต้น
off the top of one's head	โดยไม่ต้องคิด
unfold	เปิดเผย
Grenadier Guards	ทหารในกองทัพบกอังกฤษ
append to	เพิ่ม
knob	ลูกบิด
fancy	จินตนาการ
baby walker	รถหัดเดินของเด็ก
jitter	ความกระวนกระวายใจ
overtax	เก็บภาษีมากเกินไป
suss out	ค้นพบ (คำไม่เป็นทางการ)
odds-on	เป็นต่อ
run in the/one's family	เป็นลักษณะเด่นของสมาชิก
whore	เป็นหญิงโสเภณี (คำหยาบ)
postmeridien	หลังเที่ยง
undercroft	ห้องใต้ดิน
raddled	ดูเหนื่อยมาก
insouciance	ความไม่สนใจ
groundless	ซึ่งไม่มีเหตุผล
villein	ชาวนาที่เป็นทาสสมัยศักดินา
sludge	น้ำแข็งที่แตกเป็นเศษ (ลอยอยู่ในทะเล)
take a turn for the worse	เริ่มแย่ลง
fit to	ทำให้เหมาะสมกับ
soda fountain	ที่ขายน้ำอัดลม
parcel post	พัสดุไปรษณีย์
Dep.	คำย่อของ deputy
forget oneself	ควบคุมตัวเองไม่ได้
disincline for	ไม่ยินยอมในเรื่อง
frill	ตกแต่งด้วยจีบ
fight against	ต่อสู้กับ
drop in one's track	ตายทันที
fly off1	บินจากไป
be beneath someone's dignity	เสื่อมเสีย
concentration	สารที่มีความเข้มข้น
lie in ambush	ดักรอ
good-time it	ฉลอง
hurl out	ทำให้ออกไป (เพราะมีความผิดร้ายแรง)
declare for	ประกาศโจมตีต่อสาธารณชน
gawky	ซุ่มซ่าม
promiscuous	ที่ไม่มีจุดประสงค์
unaided	ไม่ได้รับการช่วยเหลือ
alchy	เครื่องดื่มอัลกอฮอล์
recreative	ซึ่งสร้างใหม่
optical disc	แผ่นเก็บข้อมูล
northland	เมืองเหนือ
dance studio	สถานที่ที่ใช้เรียนเต้นรำ
incurious	ซึ่งไม่อยากรู้ไม่อยากเห็น
indurate	ทำให้แข็ง (ทางวรรณคดี)
put something into force	ทำให้กระตือรือร้น
superhero	ฮีโร่
fine down	ทำให้ดีขึ้น
duly	อย่างเหมาะสม
build	สร้าง
sportsmanlike	มีน้ำใจนักกีฬา
Wales	แคว้นเวลส์ของประเทศอังกฤษ
suit	เหมาะสมกัน
transpicuous	ซึ่งโปร่งแสง
dodder along	เดินโซเซ
loose cannon	คนขี้โม้
fiat	คำสั่ง
colored	ที่มีสี
ground glass	กระจกฝ้า
frighten someone to death	ทำให้กลัวอย่างมาก
aphasia	การสูญเสียความสามารถในการใช้หรือเข้าใจคำพูด เนื่องจากการบาดเจ็บทางสมอง
neon	ก๊าซเฉื่อย (สัญลักษณ์คือ Ne)
caryatid	รูปปั้นผู้หญิงที่เสา
physique	เรือนร่าง
disentangle from	ปลดเปลื้องจาก
vantage point	ฐานะหรือตำแหน่งซึ่งได้เปรียบ
grab at a straw	ตะเกียกตะกาย
double-barreled slingshot	เสื้อยกทรง
word processing	การสร้าง จัดเก็บ แก้และพิมพ์คำ ข้อความโดยใช้คอมพิวเตอร์
house-proud	ความห่วงใยมากเกินไป (คำไม่เป็นทางการ)
hammy	เกี่ยวกับการที่แสดงเลยเถิด
stay at	พักอยู่ที่
nappy	ผ้าอ้อม
with the best will in the world	ไม่ว่าจะทำอย่างไร
all manner of someone or something	ทุกประเภท
have green fingers	มีความสามารถในการปลูกต้นไม้
dawn on	เริ่มส่องแสง
blackout	การเป็นลม
secure against	ทำให้ปลอดภัยจาก
browser	โปรแกรมที่ช่วยค้นหาหรืออ่านเอกสารบนอินเตอร์เนต
intentionally	โดยตั้งใจ
grayling	ปลาน้ำจืดจำพวก Thymallus
Gimme a break	ไม่น่าเชื่อ
coroner	เจ้าหน้าที่ชันสูตรศพ
stand in2	ทำให้ทำงานไม่ได้
pupillage	ช่วงเป็นเด็กนักเรียน
subtotal	คำนวณยอดรวมของส่วนหนึ่ง
menisci	คำนามพหูพจน์ของ meniscus
thick as pigshit	งี่เง่ามาก
guilder	หน่วยเงินตราของประเทศเนเธอร์แลนด์
id est	กล่าวคือ (ภาษาละติน)
glue together	ติดไว้ด้วยกันด้วยสารเหนียว
Afro-	แอฟริกา
mandarin2	ส้มจีน
anode	ขั้วบวก
official receiver	พนักงานพิทักษ์ทรัพย์สิน (ทางกฎหมาย)
W	พยัญชนะภาษาอังกฤษตัวที่ 23
accountant	นักบัญชี
pot1	ยิงสัตว์ (เพื่อเป็นอาหาร)
innumerable	ซึ่งนับไม่ถ้วน
flinch from	หลีกเลี่ยง
washable	ที่สามารถซักได้ (โดยสีไม่ตก)
Douglas Hurd	อึ
dirt cheap	ถูกมาก
in limbo	บริเวณชายขอบนรก (ตามศาสนาคริสต์)
majestic	ยิ่งใหญ่
throng out	เบียดกันออก
-scape	ทิวทัศน์
wire cutter	อุปกรณ์ที่ใช้ตัดสายไฟหรือสายโลหะ
content2	พอใจในสภาพของตนเอง
columnist	ผู้เขียนในหนังสือพิมพ์หรือนิตยสาร
mollcoddler	คนที่ถูกทะนุถนอมหรือตามใจจนเคยตัว
half-moon	พระจันทร์ครึ่งดวง
dockage	ที่สำหรับจอดเรือในอู่เรือ
mine out	ขุดแร่จาก
cure	สิ่งที่ช่วยฟื้นฟูร่างกาย
voracious	ที่ต้องการอย่างมาก
water wings	ถุงลมลอยน้ำรูปปีกคู่ ใช้ในการฝึกว่ายน้ำ
painkiller	เหล้า
chilblain	ความเจ็บปวดที่เกิดจากความเย็นจัด (โดยเฉพาะที่เกิดขึ้นที่นิ้วหรือหู)
drop in	ไม่เข้าร่วม (ระบบสังคมหรือการศึกษา)
pharynx	คอหอย
equip for	มีอุปกรณ์สำหรับ
devaluation	การลดค่าเงิน
constrictor	งูที่ฆ่าเหยื่อโดยการบีบรัด
porkling	ลูกหมู
illness	ความเจ็บป่วย
sot	คนขี้เมา
explosion	การระเบิด
batter down	ทุบตีติดต่อกัน
spend	จ่ายเงิน
scan	การกวาดภาพ (จอโทรทัศน์)
manifolder	ผู้ถ่ายสำเนา
music stool	ม้านั่งเล่นดนตรี
snorkel	ท่อช่วยหายใจในน้ำ
clumsily	ี่อย่างซุ่มซ่าม
pop-up	ซึ่งโผล่ขึ้นอย่างฉับพลัน
get right	ได้รับการบอกกล่าวอย่างถูกต้อง
minor	วิชารอง (เสริมหรือรองจากวิชาเอก)
crackerjack	ดีเยี่ยม
muddle-headed	โง่
seeress	หมอดูผู้หญิง
improbability	ความเป็นไปไม่ได้
for the time being	ปัจจุบันนี้
shodden	กริยาช่องที่ 3 ของ shoe
guesswork	การคำนวณคร่าวๆ
electric light	หลอดไฟฟ้า
stargazer	ผู้ดูดาว
quick-and-dirty	ผ่านๆ
bend upon	มุ่งมั่นในเรื่อง
spar2	ทะเลาะ
disbursement	การชำระเงิน
timeless	ถาวร
mainline	ฉีดยาเสพย์ติดเข้าเส้นเลือดดำ
hold back	ไม่เต็มใจทำ
lash at	โจมตีอย่างหนัก (ด้วยกำลังหรือคำพูด)
necktie	เน็กไท
freedman	ผู้ที่ได้รับอิสระภาพจากการเป็นทาส
manoeuvrable	ซึ่งยักย้ายได้
fall under	รวมอยู่ในรายการหรือในกลุ่มของ
enchantment	การลุ่มหลง
at a snail's pace	ช้ามาก
fought	ต่อสู้ (กริยาช่องที่ 2 และ ช่องที่ 3 ของ fight)
on the game	ขายตัว
hustle	เร่งเร้า
herd of elephant	โขลงช้าง
guide	คู่มือท่องเที่ยว
polymerization	กระบวนการเปลี่ยนแปลงเป็นสารโพลีเมอร์
execration	การสาปแช่ง
concordance	ความสอดคล้องกัน
wipe out	ขัดออก
offstage	ซึ่งไม่แสดงบนเวที
halogenous	ที่เกี่ยวกับธาตุอโลหะจำพวกฟลูออรีน คลอรีน โบรมีน ไอโอดีนและแอสตาทิน
get through2	ผ่าน
no less than	ไม่น้อยกว่า
girdle round	โอบล้อมด้วย
mainboard	แผงวงจรหลักในคอมพิวเตอร์
trashy	ไร้ค่า
open-necked	(เสื้อ) ซึ่งไม่มีเนคไทและไม่ติดกระดุมบน
persuade into	โน้มน้าวให้ทำ
consider as	คิดว่าเป็น
plug in	เสียบปลั๊ก
masochism	โรคจิตซึ่งมีความสุขเมื่อตนได้รับความเจ็บปวด
tassel	ลอกฝอยข้าวโพดออก
Marxism	ลัทธิมาร์กซ์เป็นหลักเศรษฐกิจและการเมืองของคาร์ล มาร์กซ์
secondary colour	สีผสม
sough	เกิดเสียงซู่ เหมือนเสียงลมพัดต้นไม้
greenback	แบงค์ดอลลาร์
waste	ซึ่งไม่ได้ใช้ประโยชน์
follow	เลียนแบบ
fall behind2	ทำให้ตกไปข้างหลัง
bow before	เชื่อฟัง
obstinate	ยากที่จะควบคุมหรือแก้ไขได้
senior	นักศึกษาชั้นปีสุดท้าย
trice	ชั่วขณะหนึ่ง
be dying of	รู้สึก (บางอย่าง) อย่างมาก
giggle	หัวเราะคิกคัก
gunny-bag	กระสอบป่าน
bone	เรียนอย่างหนัก
Leatherette	การเลียนแบบให้เหมือนหนัง (เช่นใช้กระดาษหรือผ้าทำ)
swarthy	มีผิวดำ
udometer	เครื่องวัดปริมาณน้ำฝน
receive	ยอมรับ
down at heel	แต่งตัวแย่มาก
store up	เก็บสำรองไว้
Tibet	ธิเบต
influenza	โรคไข้หวัดใหญ่
thyroid	ต่อมไทรอยด์
patter2	พูดบางอย่างซ้ำๆ เร็วๆ
sag	การลดลง (คุณค่า, จำนวน, ระดับ,...)
chapter and verse	แหล่งข้อมูล
California	รัฐแคลิฟอร์เนีย
blinder	แสนจะสนุกสนาน
plunge	สถานที่ว่ายน้ำ
forbear1	อดกลั้น
begone	คำร้องบอกให้ไปให้พ้นทันที
Nakhon Si Thammarat	จังหวัดนครศรีธรรมราช
forgot	ลืม (กริยาช่องที่ 2 ของ forget)
stuck-up	อวดหยิ่ง (คำไม่เป็นทางการ)
brackish	มีรสกร่อย
upload	ใส่ข้อมูลจากคอมพิวเตอร์ส่วนบุคคลไปยังเครื่องส่วนกลาง
imperative	ที่เป็นคำสั่ง (คำทางการ)
earmuffs	ที่ปิดหูกันหนาว
exceed	เกินกว่า
go back to	ย้อนกลับ (การสนทนา) ไป ยัง
car tax	ภาษีรถยนต์
grow out	งอกออกมา
coincide with	เกิดขึ้นพร้อมกับ (โดยบังเอิญ)
whip away	เอาออกทันที
lent	กริยาช่องที่ 2 และ 3 ของคำกริยา lend
greenhouse gas	แก๊ซที่ทำให้เกิดภาวะเรือนกระจก
dekko	การจ้องมอง (คำสแลง)
incite to	กระตุ้น...ให้กระทำ
dander	สะเก็ดผิวหนังของสัตว์
own up	ยอมรับผิด
background	ฉากหลัง
hunt high and low for	มองหาทุกซอกทุกมุม
anywise	โดยวิธีใดวิธีหนึ่ง
antenna	หนวดของสัตว์ที่ใช้สัมผัสอากาศ
lose	หลบหนี
executive	ผู้บริหาร
hammer home	เน้นย้ำ
grit	ความอดทน
hard cash	เงินสด
peeve	สิ่งที่ทำให้ขุ่นเคือง
inaccurate	ซึ่งไม่ถูกต้อง
gumwood	ไม้จากต้น gum tree
wad	อัดให้เป็นก้อนเล็ก
